beta :[ 0.358305   -0.28473325  0.28814709] and der [-0.00267009  0.00211182 -0.00161283]
beta :[ 0.36097509 -0.28684507  0.28975993] and der [-0.00261275  0.00206563 -0.001559  ]
beta :[ 0.36358784 -0.2889107   0.29131892] and der [-0.00255682  0.00202055 -0.00150656]
beta :[ 0.36614466 -0.29093125  0.29282549] and der [-0.00250224  0.00197654 -0.0014555 ]
beta :[ 0.3686469  -0.29290778  0.29428099] and der [-0.00244899  0.00193358 -0.00140577]
beta :[ 0.37109589 -0.29484136  0.29568676] and der [-0.00239704  0.00189164 -0.00135735]
beta :[ 0.37349293 -0.296733    0.29704411] and der [-0.00234635  0.0018507  -0.00131019]
beta :[ 0.37583927 -0.29858369  0.29835429] and der [-0.00229689  0.00181073 -0.00126426]
beta :[ 0.37813616 -0.30039442  0.29961856] and der [-0.00224863  0.00177171 -0.00121954]
beta :[ 0.38038479 -0.30216613  0.3008381 ] and der [-0.00220154  0.00173361 -0.001176  ]
beta :[ 0.38258634 -0.30389974  0.3020141 ] and der [-0.0021556   0.00169642 -0.0011336 ]
beta :[ 0.38474194 -0.30559616  0.3031477 ] and der [-0.00211077  0.00166011 -0.00109232]
beta :[ 0.38685271 -0.30725627  0.30424003] and der [-0.00206702  0.00162466 -0.00105213]
beta :[ 0.38891973 -0.30888093  0.30529215] and der [-0.00202434  0.00159004 -0.001013  ]
beta :[ 0.39094407 -0.31047097  0.30630515] and der [-0.00198269  0.00155624 -0.0009749 ]
beta :[ 0.39292676 -0.31202721  0.30728005] and der [-0.00194205  0.00152324 -0.00093781]
beta :[ 0.3948688  -0.31355045  0.30821785] and der [-0.00190238  0.00149102 -0.0009017 ]
beta :[ 0.39677119 -0.31504147  0.30911955] and der [-0.00186368  0.00145955 -0.00086655]
beta :[ 0.39863487 -0.31650102  0.30998611] and der [-0.00182592  0.00142882 -0.00083234]
beta :[ 0.40046079 -0.31792985  0.31081844] and der [-0.00178906  0.00139882 -0.00079903]
beta :[ 0.40224985 -0.31932866  0.31161748] and der [-0.00175309  0.00136952 -0.00076662]
beta :[ 0.40400294 -0.32069818  0.31238409] and der [-0.001718    0.0013409  -0.00073507]
